filename	is_connected	largest_cc_nodes	total_nodes	largest_cc_ratio
208596.npz	False	483	716	0.6745810055865922
208964.npz	False	1075	1529	0.7030739045127534
210007.npz	False	388	521	0.744721689059501
2110.npz	False	76	152	0.5
211110.npz	False	114	268	0.4253731343283582
211586.npz	False	734	908	0.8083700440528634
212042.npz	False	186	279	0.6666666666666666
212717.npz	False	205	402	0.5099502487562189
213810.npz	False	330	422	0.7819905213270142
214092.npz	False	275	588	0.467687074829932
214684.npz	False	597	1123	0.5316117542297417
216432.npz	False	451	541	0.833641404805915
216591.npz	False	1324	1807	0.7327061427780852
216594.npz	False	1017	1237	0.8221503637833468
216595.npz	False	391	806	0.4851116625310174
216596.npz	False	867	1208	0.7177152317880795
216895.npz	False	1017	1230	0.8268292682926829
218491.npz	False	1061	1307	0.8117827084927315
218493.npz	False	893	1193	0.7485331098072087
218495.npz	False	372	520	0.7153846153846154
218497.npz	False	136	228	0.5964912280701754
220341.npz	False	1011	1334	0.7578710644677661
220664.npz	False	271	805	0.33664596273291925
220668.npz	False	521	774	0.6731266149870802
221109.npz	False	619	923	0.6706392199349945
221988.npz	False	556	698	0.7965616045845272
222891.npz	False	148	236	0.6271186440677966
222929.npz	False	732	1228	0.5960912052117264
223283.npz	False	952	1324	0.7190332326283988
223926.npz	False	856	1260	0.6793650793650794
224308.npz	False	1293	1494	0.8654618473895582
224324.npz	False	381	532	0.7161654135338346
224325.npz	False	31	294	0.1054421768707483
224326.npz	False	48	186	0.25806451612903225
224911.npz	False	1395	1931	0.7224236147074055
224914.npz	False	352	684	0.5146198830409356
224915.npz	False	20	151	0.13245033112582782
225849.npz	False	792	997	0.794383149448345
225937.npz	False	819	1109	0.7385031559963932
226185.npz	False	476	745	0.6389261744966444
226186.npz	False	607	824	0.7366504854368932
226900.npz	False	862	1180	0.7305084745762712
227377.npz	False	370	458	0.8078602620087336
227882.npz	False	1159	1446	0.8015214384508991
227941.npz	False	17	128	0.1328125
228399.npz	False	91	320	0.284375
228405.npz	False	645	821	0.7856272838002436
228410.npz	False	491	629	0.78060413354531
228908.npz	False	21	43	0.4883720930232558
229533.npz	False	11	44	0.25
232348.npz	False	156	365	0.4273972602739726
232721.npz	False	724	1035	0.6995169082125604
233412.npz	False	50	251	0.199203187250996
234267.npz	False	938	1180	0.7949152542372881
234621.npz	False	1048	1394	0.7517934002869441
234826.npz	False	195	299	0.6521739130434783
234831.npz	False	639	881	0.7253121452894438
235279.npz	False	138	304	0.45394736842105265
235909.npz	False	640	923	0.6933911159263272
240015.npz	False	633	761	0.8318002628120894
240016.npz	False	29	225	0.1288888888888889
240176.npz	False	749	1396	0.5365329512893983
240292.npz	False	750	1072	0.6996268656716418
242619.npz	False	62	210	0.29523809523809524
243090.npz	False	595	810	0.7345679012345679
243159.npz	False	550	701	0.7845934379457917
243160.npz	False	201	659	0.30500758725341426
243161.npz	False	18	132	0.13636363636363635
243164.npz	False	245	350	0.7
243230.npz	False	487	700	0.6957142857142857
243231.npz	False	472	752	0.6276595744680851
243232.npz	False	357	473	0.7547568710359408
243233.npz	False	636	748	0.8502673796791443
243265.npz	False	820	1045	0.784688995215311
243272.npz	False	61	107	0.5700934579439252
243273.npz	False	64	98	0.6530612244897959
243274.npz	False	73	288	0.2534722222222222
243275.npz	False	201	406	0.49507389162561577
243276.npz	False	641	664	0.9653614457831325
243277.npz	False	292	541	0.5397412199630314
243365.npz	False	857	1156	0.7413494809688581
244592.npz	False	290	695	0.4172661870503597
245014.npz	False	374	584	0.6404109589041096
245018.npz	False	65	361	0.18005540166204986
246194.npz	False	520	692	0.7514450867052023
246195.npz	False	241	344	0.7005813953488372
246196.npz	False	381	1111	0.34293429342934295
246197.npz	False	787	1085	0.7253456221198157
246199.npz	False	27	256	0.10546875
246200.npz	False	787	1066	0.7382739212007504
246410.npz	False	663	1193	0.5557418273260687
246969.npz	False	246	385	0.638961038961039
247156.npz	False	503	701	0.717546362339515
251221.npz	False	603	832	0.7247596153846154
252305.npz	False	397	763	0.5203145478374837
253839.npz	False	336	680	0.49411764705882355
254945.npz	False	57	144	0.3958333333333333
255470.npz	False	66	228	0.2894736842105263
257310.npz	False	1043	1440	0.7243055555555555
257313.npz	False	745	1004	0.7420318725099602
257314.npz	False	32	146	0.2191780821917808
257363.npz	False	171	251	0.6812749003984063
258594.npz	False	1041	1444	0.7209141274238227
259536.npz	False	511	617	0.8282009724473258
259564.npz	False	393	520	0.7557692307692307
260799.npz	False	880	1131	0.7780725022104332
261292.npz	False	511	664	0.7695783132530121
261317.npz	False	88	115	0.7652173913043478
262316.npz	False	90	369	0.24390243902439024
262543.npz	False	507	739	0.6860622462787551
262719.npz	False	77	141	0.5460992907801419
262723.npz	False	75	147	0.5102040816326531
262724.npz	False	513	701	0.7318116975748931
262768.npz	False	59	100	0.59
263358.npz	False	851	1140	0.7464912280701754
263820.npz	False	369	502	0.7350597609561753
264198.npz	False	1362	1756	0.775626423690205
264199.npz	False	346	480	0.7208333333333333
264201.npz	False	234	328	0.7134146341463414
264202.npz	False	152	232	0.6551724137931034
264462.npz	False	415	631	0.6576862123613312
264730.npz	False	817	1274	0.641287284144427
264731.npz	False	424	535	0.7925233644859813
264732.npz	False	486	700	0.6942857142857143
265072.npz	False	553	762	0.7257217847769029
265311.npz	False	111	161	0.6894409937888198
266117.npz	False	672	857	0.7841306884480747
266264.npz	False	793	1040	0.7625
266265.npz	False	643	1181	0.5444538526672311
266779.npz	False	790	1148	0.6881533101045296
266834.npz	False	618	956	0.6464435146443515
266835.npz	False	1237	1587	0.7794580970384373
266940.npz	False	633	869	0.7284234752589183
267377.npz	False	365	500	0.73
267608.npz	False	685	907	0.7552370452039692
267671.npz	False	106	340	0.31176470588235294
267747.npz	False	492	696	0.7068965517241379
267748.npz	False	95	148	0.6418918918918919
269084.npz	False	501	719	0.6968011126564673
269482.npz	False	1178	1614	0.7298636926889716
269484.npz	False	206	284	0.7253521126760564
269796.npz	False	794	1092	0.7271062271062271
269797.npz	False	519	743	0.6985195154777928
269798.npz	False	540	669	0.8071748878923767
269799.npz	False	574	858	0.668997668997669
269800.npz	False	586	757	0.774108322324967
272557.npz	False	260	395	0.6582278481012658
272558.npz	False	729	1028	0.7091439688715954
272559.npz	False	75	342	0.21929824561403508
272560.npz	False	1178	1583	0.7441566645609602
272561.npz	False	143	224	0.6383928571428571
272562.npz	False	565	803	0.7036114570361146
272563.npz	False	82	475	0.1726315789473684
272568.npz	False	240	490	0.4897959183673469
272569.npz	False	461	720	0.6402777777777777
272620.npz	False	493	773	0.6377749029754204
272621.npz	False	289	429	0.6736596736596736
272623.npz	False	398	542	0.7343173431734318
272624.npz	False	10	43	0.23255813953488372
272626.npz	False	373	659	0.5660091047040972
272630.npz	False	907	1165	0.7785407725321889
272631.npz	False	370	479	0.7724425887265136
272632.npz	False	128	214	0.5981308411214953
272633.npz	False	125	205	0.6097560975609756
272635.npz	False	88	173	0.5086705202312138
272843.npz	False	479	706	0.6784702549575071
272844.npz	False	292	415	0.7036144578313253
272942.npz	False	685	1026	0.6676413255360624
272943.npz	False	800	1216	0.6578947368421053
272947.npz	False	124	242	0.512396694214876
272951.npz	False	24	104	0.23076923076923078
273057.npz	False	71	297	0.23905723905723905
273063.npz	False	79	257	0.30739299610894943
273068.npz	False	434	630	0.6888888888888889
273075.npz	False	265	364	0.728021978021978
273116.npz	False	315	387	0.813953488372093
273119.npz	False	59	113	0.5221238938053098
273121.npz	False	401	593	0.6762225969645869
278197.npz	False	291	428	0.6799065420560748
279010.npz	False	364	778	0.46786632390745503
279238.npz	False	669	814	0.8218673218673219
279714.npz	False	88	538	0.16356877323420074
279808.npz	False	449	652	0.6886503067484663
281090.npz	False	365	487	0.7494866529774127
281689.npz	False	74	295	0.25084745762711863
283165.npz	False	268	380	0.7052631578947368
283166.npz	False	89	208	0.42788461538461536
283643.npz	False	611	1134	0.5388007054673721
28377.npz	False	2620	3316	0.7901085645355851
283942.npz	False	529	659	0.802731411229135
284590.npz	False	863	1437	0.6005567153792624
284593.npz	False	888	1423	0.624033731553057
284813.npz	False	84	265	0.3169811320754717
2850.npz	False	539	980	0.55
287752.npz	False	121	696	0.17385057471264367
288000.npz	False	1404	2006	0.6999002991026919
288705.npz	False	619	812	0.7623152709359606
289376.npz	False	406	593	0.684654300168634
289397.npz	False	80	149	0.5369127516778524
290315.npz	False	480	615	0.7804878048780488
290317.npz	False	506	617	0.820097244732577
290318.npz	False	451	549	0.8214936247723132
290338.npz	False	981	1473	0.6659877800407332
290339.npz	False	821	1131	0.7259062776304156
290340.npz	False	753	1005	0.7492537313432835
290397.npz	False	661	907	0.7287761852260198
290398.npz	False	713	976	0.7305327868852459
290399.npz	False	837	1041	0.8040345821325648
290400.npz	False	852	1135	0.7506607929515419
290402.npz	False	182	893	0.2038073908174692
290434.npz	False	62	186	0.3333333333333333
290512.npz	False	510	631	0.8082408874801902
290633.npz	False	493	665	0.7413533834586467
291272.npz	False	237	298	0.7953020134228188
292414.npz	False	637	823	0.7739975698663426
292415.npz	False	551	775	0.7109677419354838
292459.npz	False	574	833	0.6890756302521008
292805.npz	False	170	237	0.7172995780590717
293613.npz	False	210	270	0.7777777777777778
293614.npz	False	146	263	0.5551330798479087
293826.npz	False	618	899	0.6874304783092324
294746.npz	False	750	1313	0.5712109672505712
294747.npz	False	868	1305	0.6651340996168582
296591.npz	False	915	1320	0.6931818181818182
297246.npz	False	477	616	0.7743506493506493
29760.npz	False	2017	3418	0.5901111761263897
298386.npz	False	908	1302	0.6973886328725039
298653.npz	False	964	1199	0.8040033361134279
298654.npz	False	1084	1343	0.8071481757259866
300852.npz	False	500	639	0.7824726134585289
304371.npz	False	403	553	0.72875226039783
3055.npz	False	885	1449	0.6107660455486542
30608.npz	False	12	64	0.1875
30611.npz	False	27	162	0.16666666666666666
306254.npz	False	144	303	0.4752475247524752
306263.npz	False	311	454	0.6850220264317181
306537.npz	False	417	563	0.7406749555950266
306901.npz	False	11	55	0.2
306902.npz	False	708	1254	0.5645933014354066
309798.npz	False	261	381	0.6850393700787402
309799.npz	False	383	514	0.745136186770428
309800.npz	False	433	640	0.6765625
309801.npz	False	377	503	0.7495029821073559
309803.npz	False	397	573	0.6928446771378709
309807.npz	False	453	616	0.7353896103896104
31033.npz	False	3251	4111	0.7908051568961323
311402.npz	False	867	1274	0.6805337519623234
311403.npz	False	1130	1682	0.6718192627824019
311424.npz	False	251	337	0.744807121661721
312153.npz	False	509	633	0.8041074249605056
312284.npz	False	187	354	0.5282485875706214
312309.npz	False	787	1074	0.7327746741154563
313590.npz	False	154	306	0.5032679738562091
313594.npz	False	75	291	0.25773195876288657
313595.npz	False	511	603	0.8474295190713101
313596.npz	False	516	605	0.8528925619834711
313598.npz	False	454	551	0.8239564428312159
313603.npz	False	566	658	0.8601823708206687
313606.npz	False	244	461	0.5292841648590022
313612.npz	False	191	432	0.44212962962962965
313624.npz	False	52	349	0.1489971346704871
313625.npz	False	176	350	0.5028571428571429
313628.npz	False	127	310	0.4096774193548387
314225.npz	False	521	669	0.7787742899850523
314230.npz	False	82	309	0.26537216828478966
314231.npz	False	126	464	0.27155172413793105
314232.npz	False	220	503	0.43737574552683894
314254.npz	False	252	415	0.6072289156626506
314256.npz	False	203	488	0.41598360655737704
314260.npz	False	449	624	0.719551282051282
314262.npz	False	162	590	0.2745762711864407
314265.npz	False	108	744	0.14516129032258066
314271.npz	False	251	562	0.44661921708185054
314275.npz	False	603	827	0.7291414752116082
314276.npz	False	73	298	0.24496644295302014
314277.npz	False	321	621	0.5169082125603864
314278.npz	False	65	381	0.17060367454068243
314282.npz	False	539	727	0.7414030261348006
314292.npz	False	303	544	0.5569852941176471
314315.npz	False	142	309	0.459546925566343
314345.npz	False	244	371	0.6576819407008087
314565.npz	False	837	1048	0.7986641221374046
314607.npz	False	137	310	0.44193548387096776
314608.npz	False	135	438	0.3082191780821918
314723.npz	False	67	199	0.33668341708542715
314724.npz	False	70	205	0.34146341463414637
315456.npz	False	193	279	0.6917562724014337
315730.npz	False	346	539	0.6419294990723562
315749.npz	False	703	917	0.7666303162486369
315750.npz	False	664	969	0.6852425180598555
316055.npz	False	972	1366	0.7115666178623719
316056.npz	False	900	1308	0.6880733944954128
316057.npz	False	823	1221	0.674037674037674
316058.npz	False	912	1326	0.6877828054298643
316067.npz	False	621	917	0.6772082878953108
316273.npz	False	816	1081	0.7548566142460684
316274.npz	False	653	885	0.7378531073446327
316275.npz	False	658	880	0.7477272727272727
316278.npz	False	419	647	0.6476043276661515
316279.npz	False	429	638	0.6724137931034483
316385.npz	False	1732	1912	0.9058577405857741
316407.npz	False	2756	2805	0.9825311942959002
317025.npz	False	432	628	0.6878980891719745
317655.npz	False	553	729	0.7585733882030178
318161.npz	False	639	875	0.7302857142857143
318167.npz	False	750	948	0.7911392405063291
318586.npz	False	907	1296	0.6998456790123457
318829.npz	False	807	1304	0.6188650306748467
319224.npz	False	729	989	0.737108190091001
319225.npz	False	417	573	0.7277486910994765
31964.npz	False	109	330	0.3303030303030303
319795.npz	False	444	589	0.7538200339558574
320483.npz	False	195	298	0.6543624161073825
32049.npz	False	128	370	0.34594594594594597
32051.npz	False	437	660	0.6621212121212121
320771.npz	False	73	296	0.24662162162162163
321327.npz	False	453	664	0.6822289156626506
321332.npz	False	466	686	0.6793002915451894
3218.npz	False	1880	3190	0.5893416927899686
321955.npz	False	131	442	0.29638009049773756
322098.npz	False	54	81	0.6666666666666666
322104.npz	False	883	1323	0.6674225245653818
322710.npz	False	1004	1280	0.784375
323097.npz	False	598	797	0.7503136762860728
323098.npz	False	576	760	0.7578947368421053
323259.npz	False	407	575	0.7078260869565217
323261.npz	False	638	741	0.8609986504723347
323848.npz	False	489	678	0.7212389380530974
323850.npz	False	738	931	0.7926960257787325
324057.npz	False	842	1359	0.6195732155997057
324602.npz	False	664	946	0.7019027484143763
324831.npz	False	260	386	0.6735751295336787
324925.npz	False	482	624	0.7724358974358975
325240.npz	False	749	988	0.7580971659919028
326297.npz	False	697	881	0.7911464245175936
326298.npz	False	410	576	0.7118055555555556
326423.npz	False	677	972	0.6965020576131687
326424.npz	False	1115	1278	0.8724569640062598
326426.npz	False	347	469	0.7398720682302772
326427.npz	False	651	898	0.7249443207126949
326442.npz	False	678	846	0.8014184397163121
329726.npz	False	643	896	0.7176339285714286
330214.npz	False	527	728	0.7239010989010989
330779.npz	False	390	499	0.781563126252505
331104.npz	False	221	261	0.8467432950191571
331113.npz	False	259	354	0.731638418079096
331635.npz	False	150	242	0.6198347107438017
331636.npz	False	173	339	0.5103244837758112
331678.npz	False	531	618	0.8592233009708737
33169.npz	False	859	1346	0.638187221396731
33178.npz	False	12	45	0.26666666666666666
331869.npz	False	302	656	0.4603658536585366
333146.npz	False	319	435	0.7333333333333333
333668.npz	False	116	334	0.3473053892215569
333990.npz	False	178	295	0.6033898305084746
334413.npz	False	262	426	0.6150234741784038
335283.npz	False	492	627	0.784688995215311
335284.npz	False	588	720	0.8166666666666667
335541.npz	False	375	526	0.7129277566539924
335543.npz	False	641	908	0.7059471365638766
335992.npz	False	384	507	0.757396449704142
336963.npz	False	706	1153	0.6123156981786644
338187.npz	False	377	642	0.5872274143302181
338963.npz	False	551	784	0.7028061224489796
338966.npz	False	595	852	0.6983568075117371
338969.npz	False	879	1211	0.7258464079273328
339670.npz	False	1360	1746	0.7789232531500573
339671.npz	False	518	709	0.7306064880112835
